Molality,0,5,10,15,20,25,30,35,40
0.05,-214,-218,-222,-226,-230,-234,-238,-242,-245
0.1,-423,-431,-439,-447,-454,-462,-470,-477,-485
0.2,-8360,-852,-868,-884,-900,-915,-930,-946,-961
0.3,-1247,-1272,-1297,-1321,-1344,-1368,-1391,-1415,-1437
0.4,-1658,-1693,-1727,-1759,-1791,-1823,-1855,-1886,-1917
0.5,-2070,-2115,-2158,-2200,-2241,-2281,-2322,-2362,-2402
0.6,-2484,-2539,-2593,-2644,-2694,-2744,-2794,-2843,-2891
0.7,-2901,-2967,-3030,-3091,-3151,-3210,-3270,-3228,-3385
0.8,-3320,-3398,-3472,-3543,-3612,-3682,-3751,-3818,-3885
0.9,-3743,-3832,-3917,-3998,-4079,-4158,-4327,-4314,-4390
1,-4169,-4270,-4366,-4459,-4550,-4640,-4729,-4815,-4901
1.1,-4599,-4713,-4820,-4924,-5026,-5127,-5226,-5322,-5418
1.2,-5032,-5160,-5278,-5394,-5507,-5620,-5730,-5835,-5941
1.3,-5470,-5611,-5742,-5869,-5994,-6119,-6239,-6354,-6471
1.4,-5912,-6068,-6210,-6350,-6487,-6623,-6754,-6880,-7006
1.5,-6359,-6529,-6684,-6837,-6987,-7134,-7276,-7411,-7548
1.6,-6811,-6996,-7163,-7330,-7491,-7652,-7805,-7950,-8007
1.7,-7260,-7460,-7640,-7820,-8000,-8170,-8300,-8490,-8650
1.8,-7730,-7940,-8130,-8330,-8520,-8700,-8880,-8940,-9210
1.9,-8190,-8430,-8630,-8840,-9040,-9240,-9430,-9600,-9780
2,-8670,-8920,-9130,-9360,-9570,-9780,-9980,-10160,-10350
